"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value"
"1979Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1979Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1979Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1980Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1980Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1980Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1980Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1981Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1981Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1981Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1981Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1982Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1982Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1982Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1982Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1983Q1","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1983Q2","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1983Q3","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
"1983Q4","European Union (15 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices",":"
